nama,wilayah,provinsi,kategori_2023,jumlah_pelanggan_num,rasio_aset_sr_num,pipa_total_per_pelanggan,pegawai_per_1000pel,cluster,nama_klaster
PDAM Tirta Fulawan Kabupaten Simeulue,Wilayah I — Sumatera (10 Provinsi),Aceh,SAKIT,4456.0,1897162.0,14.384649910233394,3.3662477558348294,1,Kecil-Sedang Tipikal
PDAM Tirta Singkil Kabupaten Aceh Singkil,Wilayah I — Sumatera (10 Provinsi),Aceh,KURANG SEHAT,3483.0,2999793.0,15.611541774332473,9.474590869939709,4,Kecil-Sedang Aset Tinggi
PDAM Tirta Naga Kabupaten Aceh Selatan,Wilayah I — Sumatera (10 Provinsi),Aceh,KURANG SEHAT,3977.0,1377797.0,52.06965049031933,7.543374402816193,1,Kecil-Sedang Tipikal
PDAM Tirta Agara Kabupaten Aceh Tenggara,Wilayah I — Sumatera (10 Provinsi),Aceh,KURANG SEHAT,5929.0,5463477.0,26.394670264800133,7.421150278293135,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Peusada Kabupaten Aceh Timur,Wilayah I — Sumatera (10 Provinsi),Aceh,KURANG SEHAT,1982.0,2651149.0,261.93895055499496,68.61755802219979,0,Kecil-Tidak Efisien
PDAM Tirta Tawar Kabupaten Aceh Tengah,Wilayah I — Sumatera (10 Provinsi),Aceh,SEHAT,8977.0,4319282.0,10.12309234710928,6.795143143589173,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Meulaboh Kabupaten Aceh Barat,Wilayah I — Sumatera (10 Provinsi),Aceh,SAKIT,10993.0,1357738.0,5.012280542163195,4.821249886291276,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Mountala Kabupaten Aceh Besar,Wilayah I — Sumatera (10 Provinsi),Aceh,SEHAT,42783.0,2439154.0,12.213612883622,3.9501671224551806,2,Besar-Efisien
PERUMDAM Tirta Mon Krueng Baro Kabupaten Pidie,Wilayah I — Sumatera (10 Provinsi),Aceh,KURANG SEHAT,12179.0,3332238.0,27.4793497003038,4.6801872074883,4,Kecil-Sedang Aset Tinggi
PDAM Tirta Krueng Peusangan Kabupaten Bireuen,Wilayah I — Sumatera (10 Provinsi),Aceh,SEHAT,33267.0,892423.0,26.452340156912257,4.208374665584513,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Pase Kabupaten Aceh Utara,Wilayah I — Sumatera (10 Provinsi),Aceh,SEHAT,47426.0,1571909.0,32.34978703664657,5.250284653987265,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Sejuk Kabupaten Gayo Lues,Wilayah I — Sumatera (10 Provinsi),Aceh,SEHAT,6469.0,7226759.0,31.271448446436853,8.656670273612614,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Tamiang Kabupaten Aceh Tamiang,Wilayah I — Sumatera (10 Provinsi),Aceh,SEHAT,29852.0,2805534.0,14.78091920139354,4.723301621331904,2,Besar-Efisien
PDAM Tirta Bengi Kabupaten Bener Meriah,Wilayah I — Sumatera (10 Provinsi),Aceh,SEHAT,578.0,3079981.0,210.55363321799308,88.23529411764706,0,Kecil-Tidak Efisien
PERUMDAM Tirta Krueng Meureudu Kabupaten Pidie Jaya,Wilayah I — Sumatera (10 Provinsi),Aceh,KURANG SEHAT,8301.0,2687961.0,15.54499457896639,5.300566196843754,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Daroy Kota Banda Aceh,Wilayah I — Sumatera (10 Provinsi),Aceh,SEHAT,54557.0,2481133.0,19.755741701339883,4.380739410158183,2,Besar-Efisien
PERUMDA Tirta Aneuk Laot Kota Sabang,Wilayah I — Sumatera (10 Provinsi),Aceh,SEHAT,8192.0,1710596.0,27.0306396484375,8.9111328125,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Keumueneng Kota Langsa,Wilayah I — Sumatera (10 Provinsi),Aceh,SEHAT,16106.0,3193478.0,25.482987706444803,8.444058114988204,4,Kecil-Sedang Aset Tinggi
PDAM Ie Beusaree Rata Kota Lhokseumawe,Wilayah I — Sumatera (10 Provinsi),Aceh,SAKIT,235.0,3635640.0,425.3744680851064,131.91489361702128,3,Ekstrem Terisolasi
PERUMDAM Tirta Abdya Kabupaten Aceh Barat Daya,Wilayah I — Sumatera (10 Provinsi),Aceh,KURANG SEHAT,2995.0,1141865.0,24.191652754590987,8.013355592654424,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Mon Mata Kabupaten Aceh Jaya,Wilayah I — Sumatera (10 Provinsi),Aceh,KURANG SEHAT,11834.0,4702836.0,29.21108669934088,4.225114078080108,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Umbu Kabupaten Nias,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,SEHAT,10546.0,1145594.0,16.756210885643846,6.16347430305329,1,Kecil-Sedang Tipikal
PDAM Tirta Madina Kabupaten Mandailing Natal,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,SEHAT,5737.0,1070763.0,30.10702457730521,0.3486142583231654,1,Kecil-Sedang Tipikal
PDAM Mual Nauli Kabupaten Tapanuli Tengah,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,SEHAT,10344.0,942452.0,19.861078886310903,8.31399845320959,1,Kecil-Sedang Tipikal
PERUMDA Mual Na Tio Kabupaten Tapanuli Utara,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,SEHAT,16941.0,1983371.0,17.906558054424178,4.6042146272357005,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Bina Kabupaten Labuhanbatu,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,KURANG SEHAT,18391.0,2394749.0,17.09716709259964,5.437442227176336,1,Kecil-Sedang Tipikal
PERUMDA Tirta Silaupiasa Kabupaten Asahan,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,KURANG SEHAT,31771.0,1728726.0,10.173334172673192,5.098989644644487,2,Besar-Efisien
PDAM Tirta Lihou Kabupaten Simalungun,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,KURANG SEHAT,44263.0,1277293.0,19.38580755936109,6.551747509206336,1,Kecil-Sedang Tipikal
PERUMDAM Lae Nciho Kabupaten Dairi,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,SEHAT,23059.0,1166919.0,0.0,8.673403009670844,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Malem Kabupaten Karo,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,SAKIT,17643.0,1059067.0,20.08099529558465,5.384571784843847,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Deli Kabupaten Deli Serdang,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,KURANG SEHAT,34704.0,4295251.0,17.670441447671738,5.446058091286306,4,Kecil-Sedang Aset Tinggi
PDAM Tirta Wampu Kabupaten Langkat,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,KURANG SEHAT,28148.0,1920843.0,13.562633224385392,4.902657382407275,2,Besar-Efisien
PERUMDAM Tirta Nauli Kota Sibolga,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,SEHAT,17949.0,2096158.0,10.45902278678478,7.019889687447768,1,Kecil-Sedang Tipikal
PDAM Tirta Kualo Kota Tanjungbalai,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,SAKIT,27641.0,1235770.0,7.182627256611555,9.551029268116205,1,Kecil-Sedang Tipikal
PERUMDA Tirta Uli Kota Pematangsiantar,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,SEHAT,77438.0,1259496.0,10.420943206177846,3.499573852630492,2,Besar-Efisien
PERUMDAM Tirta Bulian Kota Tebing Tinggi,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,KURANG SEHAT,1714.0,2833019.0,202.2934655775963,36.756126021003496,0,Kecil-Tidak Efisien
PERUMDA Tirtanadi Provinsi Sumatera Utara,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,SEHAT,567727.0,1976632.0,8.257169378944457,2.626262270422228,2,Besar-Efisien
PDAM Tirta Sari Kota Binjai,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,KURANG SEHAT,19286.0,707301.0,17.512651664419785,6.325832209893187,1,Kecil-Sedang Tipikal
PDAM Tirta Ayumi Kota Padangsidimpuan,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,KURANG SEHAT,2904.0,2353378.0,20.176997245179063,6.198347107438017,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Tanjung Kabupaten Batu Bara,Wilayah I — Sumatera (10 Provinsi),Sumatera Utara,KURANG SEHAT,7412.0,13915957.0,25.481921208850512,7.960064759848893,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Langkisau Kabupaten Pesisir Selatan,Wilayah I — Sumatera (10 Provinsi),Sumatera Barat,SEHAT,3577.0,2177625.0,263.62258876153203,64.02012859938496,0,Kecil-Tidak Efisien
PDAM Tirta Dharma Kabupaten Solok,Wilayah I — Sumatera (10 Provinsi),Sumatera Barat,KURANG SEHAT,18453.0,3223022.0,10.96190321356961,4.985639191459383,4,Kecil-Sedang Aset Tinggi
PERUMDAM Tirta Sanjung Buana Kabupaten Sijunjung,Wilayah I — Sumatera (10 Provinsi),Sumatera Barat,SEHAT,20399.0,1995394.0,16.200303936467474,4.608069022991323,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Alami Kabupaten Tanah Datar,Wilayah I — Sumatera (10 Provinsi),Sumatera Barat,SEHAT,27898.0,1561470.0,24.310739121083948,3.692020933400244,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Anai Kabupaten Padang Pariaman,Wilayah I — Sumatera (10 Provinsi),Sumatera Barat,KURANG SEHAT,3763.0,1502280.0,211.0728142439543,50.49162901939942,0,Kecil-Tidak Efisien
PDAM Tirta Antokan Kabupaten Agam,Wilayah I — Sumatera (10 Provinsi),Sumatera Barat,KURANG SEHAT,18203.0,1475949.0,20.899906608800748,3.735647970114816,1,Kecil-Sedang Tipikal
PERUMDAM Tirta Luak Nan Bungsu Kabupaten Lima Puluh Kota,Wilayah I — Sumatera (10 Provinsi),Sumatera Barat,KURANG SEHAT,18647.0,2047958.0,27.144634525660965,2.252373035877085,1,Kecil-Sedang Tipikal
